,Latitude,Longitude,count
3696,53.9639632888809,-1.09142303466797,19
141,-30.59537,151.50009,19
2714,44.7377408,-93.5302315,19
2464,43.1372152,-89.7467896,19
158,-33,146,19
2380,42.8111712,-78.3444621,19
2693,44.5556192,-70.0075569,18
1312,37.3592287,-85.4571874,18
1842,40.3839728,-77.2649847,18
3033,47.4145445,-122.230399,18
3542,52.2166667,7.0333333,18
1523,38.9159447,-77.05664400000001,18
2125,41.6964,-86.18219999999999,17
2312,42.5722397,-88.3673167,17
1013,34.23381,-102.40919,17
1824,40.26816,-75.02378,17
2145,41.7953068,-88.2406259,17
2979,46.963224721,-78.66268295,17
1016,34.2634267,-85.1582834,17
3231,49.516350467,-123.969443583,17
1589,39.1895037,-84.3657729,17
3139,48.5822,7.7431,17
2611,44.0332977,-94.0669,17
1466,38.7728905,-79.4067129,17
1168,35.9217324,-85.34830460000001,17
1166,35.9211768,-85.3444155,17
1162,35.86813,-90.94568,17
1818,40.2283914,-83.5221483,16
1314,37.3833847,-89.7167625,16
701,29,125,16
1400,38.3045547,-80.7350951,16
2568,43.7753775,11.2539846,16
2330,42.6286895,-73.9134588,16
1253,36.7525,3.04197,16
2803,45.41667,11.03333,16
1924,40.75173,-79.79311,16
1705,39.7989922,-76.29106899999999,16
3419,51.45,-2.6,16
1777,40.0458193,-105.4008278,15
2578,43.8117444,-70.3761634,15
3081,47.91667,1.9,15
2789,45.2807618,-111.406627,15
1467,38.7795589,-77.4327658,15
943,33.6651093,-84.11824970000001,15
1828,40.2989951,-75.18100630000001,15
2483,43.2256247,-75.0612709,15
1827,40.2987174,-75.17322830000001,15
1529,38.9195557,-77.06386639999999,15
2492,43.2586801,-75.08210529999999,15
3575,52.380001,13.5225,15
1555,38.9970528,-78.0513864,15
571,21.6,104.75,15
3658,53.33333,-2.85,15
3441,51.5,10.5,15
1978,40.9606192,-79.8306077,14
2394,42.8927464,-93.2071464,14
2694,44.5725548,-71.2236894,14
3713,54.5,-6.5,14
3303,50.42278,-4.10583,14
3214,49.28448,6.68268,14
2758,45.0180929835126,-74.72814559936521,14
971,33.92665,-85.61574,14
24,-13.25,-163.08333,14
1677,39.7277656,-105.5975002,14
2711,44.7,5.7333333,14
2485,43.2300689,-75.7776872,14
895,33.1481788,-84.6032609,14
1358,37.9470691,-76.0393808,14
3198,49.10635,-122.82509,14
2110,41.65,-7.4666667,14
1122,35.39423,-80.63290000000001,13
2990,47.0637,7.6587,13
1325,37.5248069,-84.0415947,13
3404,51.37891,0.52786,13
1039,34.5359325,-83.46516920000001,13
1937,40.7861522,-86.14638309999999,13
1199,36.1634115,-84.4404904,13
1813,40.2141,-75.2779,13
2930,46.52972,9.94938,13
2425,42.9953429,-76.67633720000001,13
2552,43.637455,-94.10218209999999,13
1473,38.7942785,-79.5492193,13
1729,39.9008333333333,-83.13722222222221,13
1958,40.8789883,-74.080697,13
1058,34.7709315,-82.9623711,13
2419,42.98333,-73.79389,13
3270,5.2,-74.1166667,13
2482,43.2222839,-77.6716706,13
619,24.9,-102.1333333,13
3728,54.900295559,-78.83290152399999,13
3755,55.95,-3.2,12
2347,42.7014726,-72.6648139,12
2522,43.4750709,-72.63815080000001,12
1625,39.4017663,-77.9844427,12
2952,46.7341326,-109.0504408,12
1858,40.44562,-79.95589,12
878,32.7816667,69.7958333,12
1733,39.9106181,-83.16296730000001,12
2148,41.80201,-77.87083,12
1701,39.7925995,-77.0247036,12
1860,40.4500344,-92.1501806,12
1470,38.7923223,-80.46092040000001,12
3574,52.37895,4.90016,12
1847,40.4123,-78.75502,12
577,21.9666667,-102.675,12
1993,41.040653,-74.53265810000001,12
3206,49.2387,11.0528,12
3391,51.27904,1.07992,12
1736,39.9270046,-83.6124236,12
91,-24.1666667,29.25,12
1518,38.9112226,-77.0491438,12
724,29.68956,-95.46014,12
1610,39.2728837,-76.8638638,11
1292,37.1264699,-84.44049440000001,11
308,1.3016667,103.7880556,11
1232,36.5,-5.75,11
2514,43.4253518,-72.0945306,11
1923,40.74976,-73.977969,11
1265,36.8725,8.4505556,11
2489,43.25,6,11
1912,40.7056169,-78.210846,11
865,32.663544,13.159011,11
