,Latitude,Longitude,count
15893,42.6286895,-73.9134588,180
20054,46.780676645,-73.81277740100001,180
16033,42.71694,-76.08583,179
10948,39.1889972,-76.57190900000001,179
21705,49.10635,-122.82509,178
18583,45.097586217,-74.41755173999999,176
23520,51.33333,-0.08333,174
10287,38.7728905,-79.4067129,174
21972,49.54977212,-119.019058232,173
9970,38.4879035,-78.3261152,172
1437,-32.9271483615446,151.776466369629,172
10316,38.7942785,-79.5492193,171
6661,33.5102,36.29128,170
16358,42.9702328,-109.4537508,169
5317,29.68956,-95.46014,169
13555,40.94671366508,25.33447265625,168
10525,38.9112226,-77.0491438,167
17168,43.6221773,-94.0710699,166
12477,40.2489600508098,-3.82236086810732,165
23377,51.19,4.404,164
19641,46.200140821,-61.065207187,164
8830,37.1264699,-84.44049440000001,164
22201,5.0666667,-75.84999999999999,163
13669,41.040653,-74.53265810000001,162
5510,3.9813889,-75.6502778,162
4463,22.5742,88.3586,161
13208,40.7388889,-74.0088889,161
27466,56.1166667,-3.95,160
6871,33.88623,-83.37683,159
10249,38.7423369,-76.99886410000001,158
25071,52.380001,13.5225,158
14014,41.33506,-81.51067,157
9520,38.0171441,-122.2885808,156
8327,36.2445059,-85.3844161,156
17496,43.950113571,-79.61632385,155
11620,39.76,-98.5,155
15926,42.6464602,-76.5052173,154
13331,40.7834345,-73.9662495,154
27280,55.8651497187961,-4.25763130187988,153
26742,54.5,-6.5,153
4017,19.25,-99.16667,153
14015,41.3367606,-73.94791650000001,152
14518,41.6964,-86.18219999999999,152
5985,31.7621153,-95.6307891,150
10548,38.9159447,-77.05664400000001,149
11670,39.7925995,-77.0247036,148
5300,29.625,67.8527778,148
19379,45.900084971,-80.899726368,148
7134,34.2671,-85.1875,147
8804,37.07333,22.42972,147
1446,-33,146,147
15617,42.4367527,-73.0537118,146
16539,43.0706398,-71.2092292,146
6938,34.0004338,-81.000091,146
23639,51.41667,-0.33333,144
9148,37.5949316,-120.9577098,143
20553,47.47997,19.25388,143
5123,28.4475,-81.46939999999999,143
4233,20.33333,106.53333,143
7690,35.2428656,-89.9253652,141
9678,38.1991667,-78.90472219999999,140
12431,40.2141,-75.2779,140
5991,31.7787808,-95.7063466,139
17440,43.892223,-69.938614,139
15811,42.5722397,-88.3673167,139
20667,47.6223,-122.3566,139
11478,39.642,-106.374,138
21600,48.8966,2.3437,138
27337,55.95,-3.2,137
10709,39.0028496,-82.9054515,136
9596,38.1040882,-120.7974351,135
15988,42.6833,23.3166,134
18458,44.966810138,-79.382930876,134
23844,51.5,10.5,134
8244,36.1170021,-86.30471350000001,133
21579,48.8776,2.35514,133
25146,52.45386,-1.74803,132
12541,40.2989951,-75.18100630000001,132
6152,32.25,35.75,131
10625,38.9445553,-77.0560885,131
13241,40.74976,-73.977969,130
17375,43.8117444,-70.3761634,130
14444,41.65,-7.4666667,129
8692,36.8912586,-76.2618842,129
12424,40.2109404,-75.27823170000001,128
28330,61.5741667,-147.3972222,128
16371,42.98333,-73.79389,128
18311,44.8374628,-93.6407923,127
20530,47.44417,19.17595,127
26001,53.33333,-8,127
12294,40.1141,-75.3822,127
10314,38.7931699,-77.4477662,126
1248,-3.2555556,-43.4572222,126
10534,38.9126115,-77.0491438,125
28819,9.722222199999999,-67.425,125
20598,47.52978,19.08068,125
16026,42.7111414,-83.4110517,124
6537,33.2203184,-116.2108405,124
20819,47.898,2.164,124
11807,39.9106181,-83.16296730000001,123
7825,35.4911934,-89.78397099999999,123
28333,61.5908333,-147.3986111,123
7389,34.7709315,-82.9623711,123
21447,48.8338,2.355,122
11156,39.3384344,-79.496162,121
28559,7.7538889,-63.2633333,121
16707,43.1908948,-77.7319504,121
10542,38.9140004,-77.0530328,121
15175,42.1623,-77.03691000000001,121
10329,38.8048356,-77.0469214,120
8670,36.861259,-76.3035524,120
7421,34.83349,-79.49977,120
12045,4.5338889,-75.6811111,120
10561,38.9178892,-77.04969939999999,119
12639,40.3839728,-77.2649847,119
18097,44.5725548,-71.2236894,119
16206,42.8514784,-71.02839040000001,119
26368,53.785,-2.249,119
15549,42.3853391,-78.93614700000001,119
11420,39.57974,-77.00399,118
27565,56.4,-3.4333333,118
10426,38.868168,-76.9580301,118
26393,53.8333,9.283329999999999,117
9509,38.0049214,-121.805789,117
25345,52.632,-1.124,117
12425,40.21122,-75.2749,116
8895,37.2279279,-77.4019267,116
5334,29.7607838,-95.3977168,116
